Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
30,6,35.262135,-59.454746,35.262257,-59.45448,60.67657057400544,Fishing
30,9,35.262257,-59.45448,35.262196,-59.45404,99.63620384766784,Fishing
30,13,35.262196,-59.45404,35.262302,-59.45371,68.5256004124044,Fishing
30,16,35.262302,-59.45371,35.262207,-59.453228,103.57061756041674,Fishing
30,20,35.262207,-59.453228,35.262253,-59.453003,75.94289920475285,Fishing
30,22,35.262253,-59.453003,,,,Fishing
31,0,35.262512,-59.455524,35.262123,-59.453888,106.23542244241105,Fishing
31,13,35.262123,-59.453888,35.262344,-59.452686,77.30967799246594,Fishing
31,21,35.262344,-59.452686,35.262035,-59.451138,103.73707493488058,Fishing
31,31,35.262035,-59.451138,35.262325,-59.450512,60.4310480350793,Fishing
31,35,35.262325,-59.450512,35.261723,-59.444016,96.47330114509839,Fishing
31,78,35.261723,-59.444016,35.262234,-59.442577,66.49519818100237,Fishing
31,90,35.262234,-59.442577,35.262257,-59.441254,88.7799008976097,Fishing
31,98,35.262257,-59.441254,,,,Fishing
34,0,35.26257,-59.455578,35.262493,-59.45558,181.21495820174243,Fishing
34,1,35.262493,-59.45558,35.262447,-59.4556,199.5452204013266,Fishing
34,2,35.262447,-59.4556,35.262455,-59.455532,81.80099165262004,Fishing
34,3,35.262455,-59.455532,35.26255,-59.45544,38.33448467033753,Fishing
34,4,35.26255,-59.45544,35.262573,-59.45541,46.80342050179388,Fishing
34,5,35.262573,-59.45541,35.262592,-59.45538,52.200887755609585,Fishing
34,6,35.262592,-59.45538,35.262638,-59.455383,356.95182558713645,Fishing
34,7,35.262638,-59.455383,,,,Fishing
40,0,35.26258,-59.455414,35.262585,-59.45511,88.84593759831893,Fishing
40,2,35.262585,-59.45511,35.262585,-59.4547,89.99988164868279,Fishing
40,5,35.262585,-59.4547,35.26259,-59.454117,89.39804293568653,Fishing
40,8,35.26259,-59.454117,35.26259,-59.453445,89.99980601893458,Fishing
40,11,35.26259,-59.453445,35.262592,-59.45255,89.842934990385,Fishing
