Trajectory_ID,Latitude,Longitude,Order,Type
1382,35.26766,-59.453415,53,Cargo
1530,35.262695,-59.45206,52,Tanker
775,35.263885,-59.451717,10,Cargo
1128,35.27232,-59.441654,47,Cargo
469,35.27251,-59.439686,53,Cargo
1469,35.263275,-59.45306,40,Tanker
550,35.26324,-59.43808,63,Cargo
456,35.26269,-59.453243,12,Tanker
1366,35.263332,-59.45284,10,Cargo
15,35.26843,-59.444458,33,Cargo
1491,35.263718,-59.42737,66,Cargo
910,35.263382,-59.4525,45,Tanker
492,35.263245,-59.450092,26,Cargo
1382,35.268387,-59.45187,78,Cargo
369,35.263638,-59.451176,22,Tanker
1148,35.265503,-59.452877,50,Tanker
64,35.263233,-59.451817,6,Cargo
15,35.26545,-59.451565,13,Cargo
127,35.262867,-59.447346,17,Cargo
1142,35.26375,-59.44827,37,Container
1042,35.26267,-59.45314,7,Cargo
1024,35.262844,-59.45463,14,Tanker
590,35.26262,-59.45537,3,Tanker
779,35.263523,-59.456745,12,Cargo
322,35.263783,-59.45538,6,Cargo
572,35.270782,-59.422543,84,Cargo
54,35.26482,-59.4528,20,Cargo
1278,35.26268,-59.45223,13,Container
1191,35.26521,-59.438206,65,Cargo
446,35.2653,-59.45088,17,Cargo
428,35.269573,-59.431705,64,Cargo
528,35.266506,-59.440777,70,Cargo
557,35.262726,-59.452545,8,Cargo
548,35.26809,-59.456882,56,Cargo
384,35.268696,-59.447174,27,Cargo
1451,35.264812,-59.447826,36,Cargo
465,35.2626,-59.455494,0,Container
184,35.264103,-59.455944,60,Tanker
635,35.262814,-59.45412,23,Tanker
1351,35.264587,-59.454517,12,Cargo
309,35.26296,-59.443966,52,Cargo
757,35.269268,-59.430965,62,Cargo
1211,35.266926,-59.439682,62,Container
284,35.263096,-59.454315,21,Tanker
482,35.26258,-59.45473,1,Cargo
1107,35.264065,-59.450047,14,Cargo
1181,35.263428,-59.45612,62,Cargo
1034,35.263187,-59.45169,14,Container
542,35.264557,-59.454365,23,Cargo
220,35.275116,-59.436646,70,Cargo
977,35.262806,-59.448517,20,Container
1122,35.263107,-59.45512,1,Cargo
271,35.262997,-59.452785,44,Tanker
483,35.26282,-59.449814,24,Cargo
1496,35.26432,-59.455883,15,Cargo
1154,35.265984,-59.44981,23,Cargo
1553,35.26787,-59.44756,55,Cargo
522,35.263496,-59.455566,10,Cargo
1439,35.263023,-59.45503,11,Tanker
1271,35.264095,-59.451084,7,Cargo
896,35.264664,-59.45143,22,Cargo
920,35.269028,-59.413788,81,Cargo
49,35.26346,-59.45419,18,Tanker
925,35.266506,-59.427475,76,Cargo
646,35.266678,-59.440186,39,Cargo
1177,35.271576,-59.423843,85,Cargo
661,35.264225,-59.453175,45,Tanker
1340,35.265255,-59.437557,77,Container
399,35.263966,-59.455215,13,Cargo
1110,35.2626,-59.45519,6,Tanker
1541,35.265324,-59.446136,33,Cargo
252,35.262886,-59.45331,35,Tanker
536,35.264206,-59.45296,7,Cargo
992,35.263165,-59.454758,18,Tanker
1308,35.263676,-59.45576,43,Tanker
1364,35.26426,-59.45625,28,Cargo
1331,35.27452,-59.413967,98,Cargo
148,35.266823,-59.440235,77,Tanker
1456,35.265987,-59.450024,32,Cargo
866,35.262707,-59.45598,2,Cargo
1263,35.263103,-59.45207,9,Cargo
1483,35.26271,-59.451176,19,Cargo
1566,35.2667,-59.45773,33,Cargo
655,35.268513,-59.447464,30,Cargo
1312,35.263382,-59.45476,4,Cargo
136,35.262814,-59.44925,21,Cargo
473,35.26354,-59.45224,16,Container
1586,35.26273,-59.452244,10,Cargo
15,35.26385,-59.454586,3,Cargo
799,35.26268,-59.45508,6,Tanker
1163,35.268673,-59.45573,81,Tanker
1413,35.26514,-59.454468,50,Cargo
1520,35.262653,-59.455494,7,Tanker
871,35.262928,-59.45317,6,Cargo
267,35.263325,-59.4351,54,Cargo
1008,35.26325,-59.436024,54,Cargo
740,35.262608,-59.45479,11,Tanker
1109,35.26292,-59.452908,38,Tanker
1115,35.26387,-59.456593,32,Cargo
372,35.26854,-59.433304,57,Cargo
1007,35.2627,-59.4549,2,Container
579,35.26738,-59.45722,31,Cargo
725,35.263615,-59.45291,9,Cargo
412,35.26497,-59.444336,53,Cargo
1079,35.26343,-59.450016,14,Cargo
550,35.26286,-59.44815,25,Cargo
711,35.262665,-59.45544,3,Tanker
1134,35.26301,-59.45293,7,Cargo
1222,35.26383,-59.421497,92,Cargo
1337,35.26304,-59.455475,24,Cargo
1391,35.26416,-59.452023,46,Cargo
1482,35.265594,-59.445133,53,Cargo
880,35.26303,-59.453686,31,Tanker
884,35.2636,-59.44772,36,Cargo
881,35.265823,-59.44275,31,Cargo
1127,35.26421,-59.44997,20,Cargo
299,35.267765,-59.445225,56,Container
120,35.263714,-59.45049,11,Cargo
1191,35.264328,-59.443146,45,Cargo
825,35.263226,-59.45534,36,Tanker
1563,35.264816,-59.44113,70,Container
353,35.26497,-59.43626,39,Cargo
1421,35.262917,-59.445774,21,Cargo
1526,35.26278,-59.454346,20,Tanker
12,35.267536,-59.44728,26,Cargo
685,35.263065,-59.453014,5,Cargo
840,35.264294,-59.44995,26,Tanker
313,35.264153,-59.45686,46,Cargo
485,35.262783,-59.45013,23,Cargo
1232,35.26492,-59.45183,21,Cargo
339,35.263603,-59.449223,30,Tanker
1181,35.263348,-59.456104,57,Cargo
829,35.262897,-59.444645,22,Cargo
952,35.26567,-59.444386,37,Cargo
199,35.263393,-59.43442,43,Cargo
391,35.272263,-59.422047,84,Cargo
802,35.263294,-59.451206,63,Tanker
188,35.26753,-59.452534,44,Cargo
1497,35.262722,-59.454147,6,Cargo
574,35.268482,-59.448273,22,Cargo
1,35.26282,-59.455242,7,Tanker
325,35.262897,-59.45468,4,Container
1119,35.263077,-59.45384,2,Cargo
524,35.262707,-59.455288,4,Tanker
963,35.262737,-59.454514,17,Tanker
169,35.2705,-59.42857,52,Cargo
910,35.26329,-59.45277,41,Tanker
1352,35.264812,-59.45775,18,Cargo
94,35.262707,-59.45193,16,Cargo
1595,35.263462,-59.45612,17,Cargo
1434,35.263927,-59.44855,13,Cargo
1322,35.262955,-59.45497,11,Tanker
115,35.262527,-59.453537,7,Cargo
144,35.264114,-59.44572,45,Cargo
606,35.262997,-59.444824,26,Cargo
191,35.263306,-59.43456,44,Cargo
124,35.26576,-59.44353,58,Tanker
749,35.26349,-59.45283,42,Tanker
1184,35.266018,-59.45516,55,Cargo
571,35.26878,-59.453747,97,Cargo
1576,35.26472,-59.44705,21,Cargo
1054,35.27464,-59.43276,58,Cargo
1360,35.264084,-59.450565,18,Cargo
275,35.271225,-59.453247,58,Cargo
485,35.26276,-59.45084,20,Cargo
1338,35.26261,-59.45557,0,Tanker
1247,35.262737,-59.454758,13,Tanker
933,35.26277,-59.45036,73,Tanker
1560,35.264988,-59.455357,28,Cargo
1133,35.2626,-59.455048,0,Cargo
1246,35.26511,-59.453632,19,Cargo
1098,35.26385,-59.450367,17,Cargo
1463,35.266647,-59.440205,31,Cargo
730,35.265675,-59.444244,53,Cargo
29,35.26302,-59.45526,0,Cargo
209,35.26324,-59.456116,20,Tanker
340,35.265133,-59.455044,12,Cargo
352,35.26332,-59.45129,21,Cargo
186,35.26437,-59.44307,51,Cargo
13,35.2639,-59.455944,12,Cargo
1062,35.263195,-59.453175,34,Tanker
702,35.26372,-59.452793,6,Cargo
366,35.26267,-59.455143,9,Tanker
664,35.263046,-59.45233,45,Tanker
385,35.276432,-59.426464,83,Cargo
432,35.268917,-59.444164,73,Cargo
1264,35.267147,-59.447193,49,Cargo
1591,35.268414,-59.43694,64,Cargo
1013,35.265953,-59.448956,17,Cargo
380,35.264156,-59.44544,46,Container
273,35.26401,-59.455013,75,Cargo
705,35.267635,-59.42275,87,Container
1052,35.26375,-59.45137,63,Tanker
685,35.26936,-59.42746,79,Cargo
460,35.263683,-59.4548,3,Cargo
587,35.265022,-59.45467,25,Cargo
164,35.262962,-59.454395,4,Container
603,35.262787,-59.455658,10,Cargo
452,35.264004,-59.44554,27,Cargo
85,35.263157,-59.45168,8,Cargo
76,35.2631,-59.45468,6,Cargo
821,35.270645,-59.439953,69,Container
1334,35.262726,-59.451946,50,Tanker
149,35.26312,-59.452774,8,Container
368,35.26415,-59.45052,11,Cargo
601,35.263626,-59.44766,31,Cargo
559,35.263844,-59.453598,36,Tanker
984,35.262657,-59.45537,0,Cargo
812,35.26179,-59.45589,15,Cargo
368,35.273045,-59.416107,90,Cargo
1371,35.267727,-59.456005,65,Cargo
459,35.263344,-59.45595,14,Cargo
1012,35.2635,-59.42799,59,Cargo
1132,35.262943,-59.44325,25,Cargo
407,35.26271,-59.45554,12,Cargo
1357,35.2628,-59.44998,22,Cargo
234,35.264282,-59.445526,25,Cargo
105,35.26317,-59.45288,4,Cargo
1005,35.263176,-59.450928,15,Cargo
1332,35.269104,-59.44348,54,Cargo
144,35.264748,-59.440872,68,Cargo
909,35.263073,-59.44194,59,Cargo
821,35.264828,-59.451355,18,Container
1326,35.26259,-59.455402,2,Tanker
1090,35.26509,-59.452145,15,Cargo
1042,35.262707,-59.451538,13,Cargo
241,35.267227,-59.440014,58,Cargo
357,35.266644,-59.447674,34,Cargo
1227,35.269867,-59.427753,65,Cargo
134,35.262722,-59.45549,0,Cargo
139,35.26665,-59.4307,55,Cargo
310,35.263897,-59.454712,15,Cargo
628,35.26282,-59.447556,18,Cargo
954,35.26292,-59.4549,11,Tanker
343,35.263397,-59.45523,20,Cargo
968,35.262737,-59.45503,8,Tanker
1302,35.264973,-59.44843,23,Cargo
230,35.26309,-59.454575,18,Tanker
1415,35.26331,-59.454815,18,Tanker
357,35.274014,-59.435547,90,Cargo
1476,35.2708,-59.441418,34,Cargo
390,35.264145,-59.4505,78,Tanker
437,35.26646,-59.440685,32,Cargo
873,35.263794,-59.45534,69,Tanker
12,35.263287,-59.45436,3,Cargo
78,35.269558,-59.42912,57,Cargo
603,35.263157,-59.45572,30,Cargo
1002,35.26286,-59.448746,31,Tanker
899,35.263966,-59.4451,25,Cargo
606,35.26302,-59.44402,29,Cargo
623,35.266968,-59.448536,43,Cargo
1385,35.262726,-59.45567,8,Tanker
75,35.266033,-59.43167,83,Cargo
1209,35.264286,-59.455105,8,Cargo
475,35.26497,-59.451923,7,Cargo
1268,35.269756,-59.442535,77,Cargo
1321,35.263187,-59.454388,22,Tanker
207,35.26268,-59.45281,35,Tanker
1207,35.26324,-59.454617,20,Tanker
1561,35.26599,-59.443913,32,Cargo
873,35.26359,-59.455383,60,Tanker
1206,35.26708,-59.453007,49,Cargo
795,35.26315,-59.440365,65,Container
973,35.272495,-59.418823,80,Cargo
729,35.266663,-59.458485,19,Cargo
26,35.262722,-59.45415,2,Cargo
1062,35.26387,-59.450787,71,Tanker
1209,35.266136,-59.452732,30,Cargo
1450,35.26278,-59.451717,15,Container
1591,35.263935,-59.450363,16,Cargo
947,35.263073,-59.454937,14,Tanker
648,35.263798,-59.452225,9,Cargo
977,35.263012,-59.44348,38,Container
304,35.26775,-59.443024,46,Cargo
327,35.266277,-59.42924,59,Cargo
1059,35.267174,-59.454754,65,Cargo
1099,35.266144,-59.453384,24,Cargo
368,35.26997,-59.429333,57,Cargo
123,35.2631,-59.45596,13,Cargo
206,35.26458,-59.44356,58,Container
1061,35.26788,-59.44554,28,Cargo
311,35.263317,-59.434723,46,Cargo
785,35.265194,-59.452908,8,Cargo
943,35.264065,-59.45013,14,Cargo
587,35.263752,-59.453648,14,Cargo
378,35.264072,-59.412006,80,Cargo
1387,35.266064,-59.429302,82,Cargo
1389,35.262726,-59.45576,7,Tanker
682,35.26288,-59.452984,8,Container
422,35.2634,-59.433,59,Cargo
814,35.269962,-59.42552,62,Cargo
24,35.26468,-59.441757,42,Container
548,35.262913,-59.455433,2,Cargo
781,35.26709,-59.422596,71,Cargo
1323,35.26564,-59.43719,64,Container
542,35.269314,-59.45271,58,Cargo
98,35.263065,-59.45587,28,Tanker
321,35.26392,-59.451122,70,Tanker
1292,35.265057,-59.451244,80,Tanker
1367,35.263763,-59.45502,80,Tanker
566,35.263065,-59.43794,52,Container
634,35.27039,-59.440105,41,Cargo
1178,35.26264,-59.45537,0,Container
1458,35.262653,-59.453823,5,Container
611,35.268406,-59.445965,25,Cargo
1127,35.2627,-59.455303,0,Cargo
396,35.262928,-59.45456,3,Cargo
747,35.26277,-59.455883,3,Cargo
857,35.26296,-59.45281,40,Tanker
1453,35.26296,-59.45454,2,Cargo
886,35.263123,-59.454758,16,Tanker
416,35.26611,-59.43385,61,Cargo
1568,35.268436,-59.456814,24,Cargo
837,35.262985,-59.446545,20,Cargo
1325,35.26298,-59.443256,56,Container
234,35.262936,-59.45342,4,Cargo
1136,35.26399,-59.4467,22,Cargo
1553,35.270367,-59.442158,86,Cargo
1308,35.264782,-59.45567,84,Tanker
876,35.263226,-59.43858,38,Cargo
576,35.26569,-59.449894,24,Cargo
812,35.262695,-59.456284,27,Cargo
52,35.262745,-59.454617,5,Container
246,35.263294,-59.435944,71,Container
1308,35.263966,-59.455734,52,Tanker
246,35.262615,-59.454178,5,Container
1328,35.264908,-59.45094,19,Cargo
865,35.26302,-59.455017,11,Tanker
79,35.266277,-59.44583,30,Cargo
369,35.262863,-59.454334,7,Tanker
249,35.268948,-59.453266,81,Cargo
605,35.263542,-59.449085,22,Cargo
767,35.26277,-59.455185,7,Tanker
825,35.26309,-59.455418,30,Tanker
965,35.26388,-59.45654,25,Cargo
1251,35.27475,-59.430695,63,Cargo
1338,35.262806,-59.455395,5,Tanker
1518,35.262608,-59.455597,0,Tanker
471,35.26562,-59.44978,32,Cargo
1382,35.26469,-59.454906,26,Cargo
898,35.263256,-59.450115,20,Container
1023,35.26361,-59.449696,17,Cargo
183,35.27222,-59.418503,87,Cargo
1173,35.263844,-59.45369,3,Cargo
989,35.265976,-59.447266,20,Cargo
641,35.263584,-59.451874,15,Cargo
0,35.26292,-59.453,7,Container
1062,35.26369,-59.45122,64,Tanker
878,35.266457,-59.44785,43,Cargo
167,35.2631,-59.453625,5,Cargo
688,35.264103,-59.45286,49,Tanker
939,35.262833,-59.45516,2,Cargo
1156,35.2679,-59.45638,93,Cargo
1247,35.262684,-59.455128,8,Tanker
1497,35.264324,-59.443256,52,Cargo
269,35.263092,-59.454823,15,Tanker
910,35.263245,-59.453014,37,Tanker
287,35.265453,-59.455334,63,Cargo
434,35.263744,-59.45238,6,Cargo
961,35.262608,-59.45512,3,Tanker
734,35.263454,-59.45438,8,Cargo
1437,35.263767,-59.4476,36,Container
1296,35.262737,-59.454437,2,Cargo
75,35.263683,-59.44852,23,Cargo
488,35.273697,-59.43556,65,Cargo
880,35.26288,-59.45432,19,Tanker
1387,35.262966,-59.452656,9,Cargo
335,35.26606,-59.45,30,Cargo
1463,35.26268,-59.455215,0,Cargo
421,35.26441,-59.45226,6,Cargo
139,35.264507,-59.443817,25,Cargo
926,35.263035,-59.44454,35,Cargo
492,35.265335,-59.43686,82,Cargo
664,35.262974,-59.452927,38,Tanker
634,35.270283,-59.441067,39,Cargo
170,35.262783,-59.454456,15,Tanker
231,35.263226,-59.438065,42,Cargo
750,35.26925,-59.42885,91,Container
862,35.27013,-59.441208,76,Cargo
139,35.268253,-59.421078,81,Cargo
220,35.26862,-59.446438,37,Cargo
724,35.26301,-59.455505,26,Tanker
670,35.265594,-59.457977,44,Cargo
318,35.263844,-59.45448,3,Cargo
324,35.264572,-59.44385,44,Cargo
1067,35.272686,-59.45078,69,Cargo
204,35.262943,-59.45509,9,Tanker
435,35.263943,-59.45476,63,Cargo
1446,35.26358,-59.447468,20,Container
968,35.262856,-59.454376,17,Tanker
48,35.263866,-59.453506,40,Tanker
926,35.26314,-59.44186,46,Cargo
181,35.263065,-59.45403,4,Cargo
731,35.263557,-59.427563,77,Cargo
97,35.26265,-59.455395,2,Tanker
412,35.26291,-59.45404,6,Cargo
445,35.263584,-59.455048,10,Cargo
802,35.263336,-59.45088,67,Tanker
412,35.264816,-59.445435,48,Cargo
42,35.26312,-59.453922,28,Tanker
964,35.263447,-59.45245,46,Tanker
660,35.262676,-59.452724,12,Container
639,35.264256,-59.450985,18,Cargo
259,35.262714,-59.45436,3,Container
619,35.265835,-59.448917,28,Cargo
179,35.26365,-59.44693,24,Cargo
1467,35.26775,-59.45471,64,Cargo
1157,35.2653,-59.44565,35,Cargo
881,35.26737,-59.436646,44,Cargo
1111,35.273407,-59.437267,58,Cargo
833,35.263233,-59.452595,8,Cargo
688,35.264782,-59.451366,76,Tanker
73,35.27428,-59.434406,84,Cargo
933,35.262707,-59.452023,49,Tanker
1456,35.266796,-59.449276,38,Cargo
1155,35.262604,-59.455585,0,Tanker
382,35.265034,-59.450867,24,Tanker
642,35.263115,-59.45528,1,Cargo
687,35.267746,-59.45181,40,Cargo
1078,35.262596,-59.455364,0,Cargo
183,35.266956,-59.436554,43,Cargo
1518,35.262684,-59.454697,13,Tanker
599,35.264225,-59.44901,37,Cargo
542,35.26411,-59.454773,16,Cargo
230,35.26529,-59.451107,81,Tanker
1268,35.27078,-59.44102,84,Cargo
587,35.266247,-59.454723,43,Cargo
974,35.26262,-59.45554,1,Tanker
1320,35.263317,-59.448895,16,Cargo
706,35.262722,-59.452045,53,Tanker
805,35.266903,-59.442226,39,Container
470,35.26271,-59.454746,1,Cargo
740,35.262604,-59.454937,9,Tanker
1479,35.263153,-59.44016,67,Container
613,35.262955,-59.454266,17,Tanker
1410,35.263412,-59.456024,31,Cargo
645,35.26756,-59.45531,60,Cargo
610,35.269035,-59.439636,36,Cargo
317,35.26373,-59.421276,92,Container
61,35.266193,-59.448895,27,Cargo
890,35.26297,-59.454502,31,Cargo
162,35.263256,-59.44958,23,Container
575,35.26337,-59.45257,9,Cargo
103,35.262978,-59.444836,19,Cargo
174,35.263103,-59.453503,9,Container
796,35.26936,-59.455418,71,Cargo
595,35.262608,-59.455585,0,Tanker
