Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
4,0,35.262688,-59.455875,35.262848,-59.45633,293.30026939575987,Tanker
4,3,35.262848,-59.45633,35.262497,-59.456192,162.2021585015317,Tanker
4,8,35.262497,-59.456192,35.26222,-59.4565,222.2362778723607,Tanker
4,17,35.26222,-59.4565,35.26235,-59.456707,307.5655091368901,Tanker
4,20,35.26235,-59.456707,35.262257,-59.4565,118.82100573444518,Tanker
4,23,35.262257,-59.4565,35.261948,-59.456524,183.62878823797044,Tanker
4,28,35.261948,-59.456524,35.261982,-59.456726,281.64779887685853,Tanker
4,30,35.261982,-59.456726,35.26154,-59.457047,210.66783259189737,Tanker
4,35,35.26154,-59.457047,35.262035,-59.456585,37.31045514051641,Tanker
4,41,35.262035,-59.456585,35.26117,-59.457184,209.48535972380222,Tanker
4,49,35.26117,-59.457184,35.261257,-59.45749,289.1981099983507,Tanker
4,53,35.261257,-59.45749,35.26123,-59.457275,98.743472042637,Tanker
4,56,35.26123,-59.457275,35.261265,-59.458057,273.1376866411576,Tanker
4,62,35.261265,-59.458057,35.261555,-59.45769,45.93895099334861,Tanker
4,66,35.261555,-59.45769,35.261944,-59.458027,324.72551884556435,Tanker
4,70,35.261944,-59.458027,35.26267,-59.457867,10.201084646979439,Tanker
4,79,35.26267,-59.457867,35.262222,-59.457718,164.80686472770606,Tanker
4,85,35.262222,-59.457718,,,,Tanker
5,0,35.2625,-59.45541,35.26282,-59.453644,77.48720723067049,Tanker
5,8,35.26282,-59.453644,35.26273,-59.453068,100.83313150844396,Tanker
5,11,35.26273,-59.453068,35.26289,-59.45247,71.85665693771841,Tanker
5,14,35.26289,-59.45247,35.262753,-59.451145,97.21665792017097,Tanker
5,21,35.262753,-59.451145,35.263016,-59.450558,61.24512735869814,Tanker
5,24,35.263016,-59.450558,35.263096,-59.449615,84.0679633622641,Tanker
5,29,35.263096,-59.449615,35.263447,-59.44881,61.897023518677486,Tanker
5,33,35.263447,-59.44881,35.263554,-59.448193,78.00880783625684,Tanker
5,37,35.263554,-59.448193,35.263355,-59.44768,115.41179968064608,Tanker
5,40,35.263355,-59.44768,35.263355,-59.44704,89.99981525278986,Tanker
5,44,35.263355,-59.44704,35.263546,-59.44643,69.01894193554142,Tanker
5,48,35.263546,-59.44643,35.2635,-59.445724,94.56223918361917,Tanker
5,52,35.2635,-59.445724,35.26419,-59.44415,61.76854260510265,Tanker
5,60,35.26419,-59.44415,35.264164,-59.44234,91.00737668649037,Tanker
